k,outer_1_x,outer_1_y,outer_2_x,outer_2_y,outer_3_x,outer_3_y,outer_4_x,outer_4_y,outer_5_x,outer_5_y,outer_6_x,outer_6_y,outer_7_x,outer_7_y,outer_8_x,outer_8_y,outer_9_x,outer_9_y,outer_10_x,outer_10_y,outer_11_x,outer_11_y
36,9.84298,0.00702039,9.70631,-0.110988,10.4772,0.0581647,10.7114,0.249263,11.099,0.577467,11.2292,0.718911,11.2401,0.733517,11.2401,0.733534,11.2401,0.733633,11.2401,0.733691,11.2403,0.733947
37,10.0713,0.0238015,9.93977,-0.0612004,10.7061,0.00218619,10.9437,0.168228,11.3391,0.453879,11.4707,0.579231,11.4815,0.59227,11.4815,0.592286,11.4816,0.592376,11.4816,0.592429,11.4818,0.59266
38,10.2895,0.0318395,10.1652,-0.023028,10.9273,-0.0420317,11.1697,0.100046,11.5756,0.34578,11.7097,0.455916,11.7206,0.467462,11.7206,0.467477,11.7207,0.467559,11.7207,0.467606,11.7209,0.467814
39,10.4973,0.0345878,10.3819,0.00474697,11.1403,-0.0757079,11.3886,0.0436482,11.8074,0.252156,11.9451,0.347989,11.9562,0.358123,11.9562,0.358136,11.9563,0.35821,11.9563,0.358252,11.9565,0.358436
40,10.6947,0.0341653,10.5895,0.023318,11.3444,-0.100018,11.5998,-0.00202795,12.0336,0.171974,12.1759,0.254443,12.1872,0.263246,12.1872,0.263258,12.1873,0.263323,12.1873,0.26336,12.1875,0.263522
41,10.8817,0.0319594,10.7875,0.033835,11.5392,-0.116088,11.8027,-0.0380301,12.2534,0.104187,12.401,0.174246,12.4127,0.181803,12.4127,0.181814,12.4128,0.181872,12.4128,0.181904,12.413,0.182044
42,11.0583,0.0288807,10.9757,0.0380698,11.7245,-0.124989,11.9968,-0.0653823,12.466,0.047752,12.6196,0.106362,12.6318,0.112759,12.6318,0.112768,12.6319,0.112818,12.6319,0.112845,12.6321,0.112965
43,11.2247,0.0255117,11.1538,0.0386583,11.9,-0.127737,12.1818,-0.0850782,12.6709,0.00163375,12.8312,0.0497524,12.8439,0.055075,12.8439,0.0550831,12.8439,0.0551254,12.844,0.0551488,12.8442,0.0552496
44,11.3808,0.0222063,11.3219,0.0371542,12.0654,-0.125289,12.3573,-0.0980755,12.8674,-0.0351831,13.0349,0.00339123,13.0482,0.00772587,13.0482,0.00773274,13.0482,0.00776796,13.0483,0.00778728,13.0485,0.00787008
45,11.5268,0.0191614,11.4798,0.0345491,12.2207,-0.118545,12.5231,-0.105291,13.0553,-0.063689,13.2304,-0.0337294,13.2443,-0.0302976,13.2443,-0.0302919,13.2443,-0.0302634,13.2444,-0.0302478,13.2446,-0.0301817
46,11.6625,0.0164688,11.6277,0.0314779,12.3658,-0.109075,12.6791,-0.107599,13.234,-0.0848426,13.4172,-0.0625918,13.4317,-0.0599793,13.4317,-0.0599747,13.4317,-0.0599524,13.4318,-0.0599404,13.432,-0.0598896
